2020
203, 0, 0
18.5, 0, 20
18, 0, 1016
16, 0, 1998
16.5, 1, 1792
205, 2, 2
18, 2, 254
23.5, 2, 358
20.5, 2, 734
2, 2, 856
7.5, 2, 1524
21.5, 3, 346
19.5, 3, 994
3.5, 3, 1124
22, 3, 1264
150.5, 4, 4
18.5, 4, 76
2.5, 4, 1066
14, 4, 1252
1.5, 4, 1976
6, 5, 512
11, 5, 618
16, 5, 942
181, 6, 6
7, 6, 26
9.5, 6, 444
17.5, 6, 844
21.5, 6, 1410
16.5, 6, 1854
25.5, 7, 842
25, 7, 1380
11.5, 7, 1584
4.5, 7, 1682
6.5, 7, 1870
151, 8, 8
22.5, 8, 176
4, 8, 352
24, 8, 796
10.5, 9, 598
24.5, 9, 864
158.5, 10, 10
9.5, 10, 146
8, 10, 396
13.5, 10, 496
1.5, 10, 1146
10.5, 10, 1872
7, 11, 232
16.5, 11, 1216
174, 12, 12
7.5, 12, 538
266.5, 14, 14
12.5, 14, 632
5, 14, 1112
12, 14, 1254
9.5, 15, 786
8, 15, 1396
2.5, 15, 1502
196.5, 16, 16
17, 16, 728
3, 16, 740
18.5, 16, 866
24.5, 16, 980
7.5, 16, 1036
3, 16, 1836
17, 17, 752
18.5, 17, 1048
255, 18, 18
11.5, 18, 86
24, 18, 230
25, 18, 626
8.5, 18, 838
12, 18, 1046
21.5, 18, 1356
24.5, 18, 1936
10, 19, 624
8, 19, 634
20.5, 19, 1898
211.5, 20, 20
11.5, 20, 1584
22.5, 21, 734
22, 21, 944
8, 21, 1662
18, 21, 1920
231.5, 22, 22
9.5, 22, 564
18.5, 22, 964
21.5, 22, 1304
10, 22, 1710
10.5, 24, 0
206.5, 24, 24
12.5, 24, 26
23.5, 24, 1634
10.5, 25, 86
153, 26, 26
7.5, 26, 1608
219.5, 28, 28
20, 28, 224
2.5, 28, 370
12, 28, 1174
6.5, 29, 194
22, 29, 920
10.5, 29, 1194
4, 29, 1664
211.5, 30, 30
20, 30, 362
22, 30, 1446
15.5, 30, 1552
22, 30, 1732
