2020
451.5, 0, 0
18.5, 0, 20
16, 0, 128
18, 0, 1016
23, 0, 1450
8, 0, 1622
16, 0, 1746
16, 0, 1998
16.5, 1, 140
10.5, 1, 462
21, 1, 548
14, 1, 1294
9, 1, 1442
16.5, 1, 1792
450, 2, 2
15.5, 2, 112
18, 2, 254
23.5, 2, 358
13.5, 2, 396
21, 2, 518
19.5, 2, 524
28, 2, 734
2, 2, 856
7.5, 2, 1524
21.5, 3, 346
17.5, 3, 580
19.5, 3, 994
3.5, 3, 1124
22, 3, 1264
11, 3, 1482
11.5, 3, 1610
344.5, 4, 4
18.5, 4, 76
15.5, 4, 324
8.5, 4, 764
2.5, 4, 1066
8, 4, 1134
14, 4, 1252
1.5, 4, 1976
6, 5, 512
11, 5, 618
16, 5, 942
6, 5, 1214
11.5, 5, 1980
295.5, 6, 6
7, 6, 26
9.5, 6, 444
17.5, 6, 844
21.5, 6, 1410
16.5, 6, 1854
23, 7, 314
25.5, 7, 842
10.5, 7, 942
19.5, 7, 1196
25, 7, 1380
25.5, 7, 1516
22, 7, 1536
11.5, 7, 1584
4.5, 7, 1682
1, 7, 1698
6.5, 7, 1870
2, 7, 1958
275.5, 8, 8
22.5, 8, 176
4, 8, 352
24, 8, 796
16.5, 8, 1008
5.5, 8, 1332
17.5, 9, 408
10.5, 9, 598
20.5, 9, 792
25.5, 9, 846
24.5, 9, 864
321.5, 10, 10
9.5, 10, 146
24.5, 10, 222
8, 10, 396
13.5, 10, 496
1.5, 10, 1146
7.5, 10, 1148
10.5, 10, 1872
7, 11, 232
16.5, 11, 1216
14, 11, 1456
412.5, 12, 12
16.5, 12, 380
21.5, 12, 416
7.5, 12, 538
387, 14, 14
12.5, 14, 632
5, 14, 1112
5, 14, 1228
12, 14, 1254
15, 14, 1514
25, 15, 102
1.5, 15, 588
9.5, 15, 786
24, 15, 1176
20.5, 15, 1282
8, 15, 1396
2.5, 15, 1502
24, 16, 6
384.5, 16, 16
17, 16, 728
3, 16, 740
18.5, 16, 866
24.5, 16, 980
7.5, 16, 1036
3, 16, 1836
1, 17, 430
17, 17, 752
18.5, 17, 1048
13.5, 17, 1982
449.5, 18, 18
11.5, 18, 86
24, 18, 230
1.5, 18, 348
25, 18, 626
26.5, 18, 838
12, 18, 1024
12, 18, 1046
18, 18, 1284
21.5, 18, 1356
24.5, 18, 1936
10, 19, 624
8, 19, 634
13, 19, 1082
20.5, 19, 1898
387.5, 20, 20
4.5, 20, 1484
11.5, 20, 1584
16.5, 20, 1612
20.5, 21, 90
22.5, 21, 734
22, 21, 944
8, 21, 1662
18, 21, 1920
420, 22, 22
9.5, 22, 564
18.5, 22, 964
21.5, 22, 966
14.5, 22, 1158
21.5, 22, 1304
10, 22, 1710
20, 22, 1858
4.5, 23, 446
10.5, 24, 0
406.5, 24, 24
12.5, 24, 26
8.5, 24, 414
12.5, 24, 1422
23.5, 24, 1634
